id,language,category,french,reference_local,dialect,reviewer,candidate_local,candidate_french,meaning_score_0_2,naturalness_score_0_2,reverse_meaning_score_0_2,critical_error,notes
dioula-23,dioula,possession,Ce sac appartient à ma sœur.,,,,,,,,,,
dioula-24,dioula,demande,"Appelez mon frère, s’il vous plaît.",,,,,,,,,,
fulfulde-01,fulfulde,salutation,"Bonjour, comment allez-vous ?",,,,,,,,,,
fulfulde-02,fulfulde,prix,Combien coûte ce sac de riz ?,,,,,,,,,,
fulfulde-03,fulfulde,quantite,Je voudrais deux kilos de mil.,,,,,,,,,,
fulfulde-04,fulfulde,negation,Je ne veux pas acheter ce produit.,,,,,,,,,,
fulfulde-05,fulfulde,negation,Ne tournez pas à droite.,,,,,,,,,,
fulfulde-06,fulfulde,temps,"Hier, je suis allé au marché.",,,,,,,,,,
fulfulde-07,fulfulde,temps,"Demain, nous irons à Bobo-Dioulasso.",,,,,,,,,,
fulfulde-08,fulfulde,conjugaison,Nous mangeons ensemble.,,,,,,,,,,
fulfulde-09,fulfulde,nombre,Le prix est de 2 500 francs CFA.,,,,,,,,,,
fulfulde-10,fulfulde,nombre,Le car part à 14 heures 30.,,,,,,,,,,
fulfulde-11,fulfulde,nom_propre,Je cherche Aïssata à Ouagadougou.,,,,,,,,,,
fulfulde-12,fulfulde,direction,Où se trouve la gare routière ?,,,,,,,,,,
fulfulde-13,fulfulde,clarification,Pouvez-vous répéter plus lentement ?,,,,,,,,,,
fulfulde-14,fulfulde,inconnu,Je souhaite recharger la batterie de mon téléphone.,,,,,,,,,,
fulfulde-15,fulfulde,inconnu,Comment envoyer ce document par courrier électronique ?,,,,,,,,,,
fulfulde-16,fulfulde,ambiguite,Je cherche un avocat.,,,,,,,,,,
fulfulde-17,fulfulde,ambiguite,Il est devant la banque.,,,,,,,,,,
fulfulde-18,fulfulde,politesse,Merci de votre aide.,,,,,,,,,,
fulfulde-19,fulfulde,question,Avez-vous de l’eau potable ?,,,,,,,,,,
fulfulde-20,fulfulde,accord,Les enfants sont arrivés.,,,,,,,,,,
fulfulde-21,fulfulde,condition,"Si le car est plein, je prendrai le suivant.",,,,,,,,,,
fulfulde-22,fulfulde,opposition,"Je veux le petit sac, pas le grand.",,,,,,,,,,
fulfulde-23,fulfulde,possession,Ce sac appartient à ma sœur.,,,,,,,,,,
fulfulde-24,fulfulde,demande,"Appelez mon frère, s’il vous plaît.",,,,,,,,,,
